question,nf name,study source,study type,guideline,test material,duration,species,sex,reference point,qualifier,value,unit,remarks
EFSA-Q-2018-00282,frozen and freeze-dried formulations of the lessermealworm (Alphitobius diaperinus larva),literature,human other,,lesser mealworm-derived products,,human,Unspecified,,,,,No conclusions can be drawn (test material not considered representative of the NF and studies not designed to assess safety).
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,edible Jatropha curcas defatted meal,7 days,rat,Male,,,,,
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,edible Jatropha curcas defatted meal,28 days,rat,Mixed females and males,,,,,
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,edible Jatropha curcas defatted meal,,rat,Mixed females and males,,,,,Study duration: 5-7 weeks.
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),Previous assessment,subchronic,,defatted Jatropha kernel meal,79 days,pig,Mixed females and males,NOAEL,,0.4,Milligrams per kilogram body weight per day,
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,human other,,non-edible kernels,,human,Unspecified,,,,,
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,detoxified non-edible Jatropha meal after oil extraction,<28 days,fish,Unspecified,,,,,Study not used in the assessment of the NF.
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,detoxified non-edible Jatropha meal after oil extraction,<28 days,shrimp,Unspecified,,,,,Study not used in the assessment of the NF.
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,detoxified non-edible Jatropha meal after oil extraction,<28 days,pig,Unspecified,,,,,Study not used in the assessment of the NF.
EFSA-Q-2018-00542,hydrothermally treated kernels from edible Jatropha curcas L. (Chuta),literature,subacute,,detoxified non-edible Jatropha meal after oil extraction,<28 days,rat,Unspecified,,,,,Study not used in the assessment of the NF.
EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,acute toxicity,,NF,14 days,rat,Mixed females and males,,,,,
EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,subchronic,OECD TG 408,NF,90 days,rat,Mixed females and males,NOAEL,,400,Milligrams per kilogram body weight per day,90-day study followed by a 14-day recovery period.
EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,reproductive/developmental,OECD TG 421,NF,,rat,Mixed females and males,NOAEL,,200,Milligrams per kilogram body weight per day,Study duration: Males were dosed from 2 weeks prior to mating for a total of 43 days. Females were dosed from 2 weeks prior to mating through lactation day 3.
EFSA‐Q‐2020‐00111,tetrahydrocurcuminoids from turmeric (Curcuma longa L.),original,human interventional clinical trial,,NF,28 days,human,Mixed females and males,,,,,Uncontrolled trial considered of little value for the safety assessment.
EFSA-Q-2019-00043,dried whole cell Euglena gracilis,original,acute toxicity,OECD TG 402,,single,rat,Female,,,,,
EFSA-Q-2019-00043,dried whole cell Euglena gracilis,original,subacute,OECD TG 407,,14 days,rat,Mixed females and males,,,,,
EFSA-Q-2019-00043,dried whole cell Euglena gracilis,original,subchronic,OECD TG 408,,90 days,rat,Mixed females and males,NOAEL,,3300,Milligrams per kilogram body weight per day,
EFSA-Q-2020-00492,iron milk proteinate,original,acute toxicity,,NF,,rat,Unspecified,,,,,"The Panel considers that, in general, acute toxicity studies are of limited relevance for the safety assessment of novel foods.
"
EFSA-Q-2020-00417,vitamin D2 mushroom powder,literature,human interventional clinical trial,,UV-irradiated mushrooms or similar material,,,,,,,,No adverse effects were reported. The Panel notes that these studies are on vitamin D availability and are of limited value for the safety assessment of the NF.
EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,subchronic,,Hovenia dulcis fruit extracts,90 days,rat,Unspecified,,,,,Study is not informative for the assessment of the toxicological properties of the NF.
EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,human interventional clinical trial,,Hovenia dulcis berry extract powder,12 weeks,human,Unspecified,,,,,Panel considers study is not informative for the assessment of the safety of the NF.
EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,acute toxicity,,Hovenia dulcis fruit extracts,,rat,Unspecified,,,,,Study is not informative for the assessment of the toxicological properties of the NF.
EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,original,human interventional clinical trial,,hot water extract of Hovenia dulcis fruits,,human,Male,,,,,Single dose co-administered with alcohol. Not relevant for the safety assessment of the NF (coadministration with alcohol).
EFSA-Q-2018-00279,hot water extract of fruits and peduncles of Hovenia dulcis,literature,human other,,water boiled with Hovenia dulcis,1 years,human,Male,,,,,"Severe toxic hepatitis in a case report, but the relevance of this case remains unclear."
EFSA-Q-2011-01155,dihydrocapsiate,original,acute toxicity,respective Guideline in „Redbook 2000 Guidance for industry and other stakeholders- Toxicological principles for the safety assessment of food ingredients‟,commercial grade DHC (94.0% DHC),15 days,mouse,Mixed females and males,LD50,Greater than,5000,Milligrams per kilogram body weight,
EFSA-Q-2011-01155,dihydrocapsiate,original,subchronic,"„Guidelines for designation of food additives and forrevision of standards for use of food additives‟, Notification No. 29 of the Environmental HealthBureau, Ministry of Health and Welfare, Japan (March 22, 1996).",laboratory scale DHC (95.8% DHC),13 weeks,rat,Mixed females and males,NOAEL,,300,Milligrams per kilogram body weight per day,Observed effect on liver.
EFSA-Q-2011-01155,dihydrocapsiate,original,subchronic,"„Guidelines for designation of food additives and forrevision of standards for use of food additives‟, Notification No. 29 of the Environmental HealthBureau, Ministry of Health and Welfare, Japan (March 22, 1996).",commercial grade DHC (94.0% DHC),13 weeks,rat,Mixed females and males,NOAEL,,300,Milligrams per kilogram body weight per day,Observed effect on liver and kidney.
EFSA-Q-2011-01155,dihydrocapsiate,original,chronic/long term toxicity,"„Guidelines for designation of food additives and forrevision of standards for use of food additives‟, Notification No. 29 of the Environmental HealthBureau, Ministry of Health and Welfare, Japan (March 22, 1996).",commercial grade DHC (94.0% DHC),26 weeks,rat,Mixed females and males,NOAEL,,300,Milligrams per kilogram body weight per day,Study duration: 26 weeks followed by a 4-week recovery period. Observed effect on liver and kidney. Not all effects reversed at the end of the recovery period.
EFSA-Q-2011-01155,dihydrocapsiate,original,developmental,"„Guidelines for designation of food additives and forrevision of standards for use of food additives‟, Notification No. 29 of the Environmental HealthBureau, Ministry of Health and Welfare, Japan (March 22, 1996).",commercial grade DHC (94.0% DHC),11 days,rat,Female,NOAEL,,1000,Milligrams per kilogram body weight per day,"Dams dosed for 11 days on days 7-17 of gestation, then killed on day 20 of gestation."
EFSA-Q-2011-01155,dihydrocapsiate,original,developmental,"„Guidelines for designation of food additives and forrevision of standards for use of food additives‟, Notification No. 29 of the Environmental HealthBureau, Ministry of Health and Welfare, Japan (March 22, 1996).",commercial grade DHC (94.0% DHC),13 days,rabbit,Female,NOAEL,,1000,Milligrams per kilogram body weight per day,"Dams dosed for 13 days on days 6-18 of gestation, then killed on day 28 of gestation."
EFSA-Q-2011-01155,dihydrocapsiate,original,human interventional clinical trial,,DHC,8 days,human,Male,,,,,"DHC was well-tolerated and none of the subjects discontinued dosing due to subjective symptoms or adverse events. Panel found study of little relevance for the safety assessement due to short duration, low doses and limited number of safety points."
EFSA-Q-2011-01155,dihydrocapsiate,original,human interventional clinical trial,,DHC,4 weeks,human,Male,,,,,"DHC was well-tolerated and none of the subjects discontinued dosing due to adverse events. Panel found study of little relevance for the safety assessement due to short duration, low doses and limited number of safety points."
EFSA-Q-2011-01155,dihydrocapsiate,literature,in vitro,,,,,,,,,,
EFSA-Q-2020-00488,apple fruit cell culture biomass,original,subchronic,,0.014:1 NF:isomalt ,13 weeks,rat,Mixed females and males,,,,,Panel did not consider this study due to lack of compositional analysis of the NF and lack of some endpoints.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,subchronic,OECD TG 408,trans-resveratrol produced with the previous process by the applicant,90 days,rat,Mixed females and males,"NOAEL, BMDL05",,"NOAEL: 300; BMDL05: 367 (males), 344 (females)",Milligrams per kilogram body weight per day,"Study had two components: first had a duration of 90 days, second had a duration of 90 days followed by at least 4 weeks of recovery."
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subacute,,trans-resveratrol (99.7% purity),28 days,rat,Mixed females and males,,,,,Increased incidence and severity of mephropathy at highest dose.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,subacute,,trans-resveratrol produced with the previous process by the applicant,28 days,rat,Unspecified,,,,,No effects of treatment at any dose.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subacute,,synthetic trans-resveratrol,28 days,rat,Unspecified,NOAEL,,300,Milligrams per kilogram body weight per day,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subacute,,synthetic trans-resveratrol,28 days,dog,Unspecified,NOAEL,,300,Milligrams per kilogram body weight per day,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subacute,,synthetic trans-resveratrol,28 days,rabbit,Mixed females and males,NOAEL,,"500 (Male), 250 (Female)",Milligrams per kilogram body weight per day,Severe weight loss at highest dose and renal effects.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,chronic/long term toxicity,,synthetic trans-resveratrol,6 months,rat,Unspecified,NOAEL,,300,Milligrams per kilogram body weight per day,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,chronic/long term toxicity,,synthetic trans-resveratrol,6 months,rabbit,Unspecified,NOAEL,,500,Milligrams per kilogram body weight per day,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subchronic,OECD TG 408,synthetic trans-resveratrol of high purity,90 days,rat,Mixed females and males,NOAEL,,200,Milligrams per kilogram body weight per day,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,subchronic,,resveratrol,90 days,dog,Mixed females and males,NOAEL,,600,Milligrams per kilogram body weight per day,Renal effects.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,chronic/long term toxicity,,synthetic trans-resveratrol (99.5% purity) produced by another manufacturer,6 months,mouse,Mixed females and males,,,,,Identified kidney and urinary bladder as target tissues for resveratrol toxicity. Panel notes that study does not indicate a carcinogenic effect.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,developmental,OECD TG 414,trans-resveratrol,10 days,rat,Mixed females and males,"NOAEL, LOEL",,"750 (Mixed females and males), 120 (Female)",Milligrams per kilogram body weight per day,NOAEL refers to fetal development while LOEL is for maternal toxicity. Study duration: exposure of dams between days 5 and 15 of gestation; end of study at gestation day 20.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,developmental,,synthetic trans-resveratrol from another manufacturer,10 days,,Mixed females and males,NOAEL,,"1000 (Mixed females and males), 300 (Female)",Milligrams per kilogram body weight per day,NOAEL of 1000 mg/kg bw/day refers to fetal development while NOAEL of 300 mg/kg bw/day is for maternal toxicity. Study duration: exposure of pregnant animals between days 7 and 17 of gestation.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,in vitro,,resveratrol,,,,,,,,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,other,,trans-resveratrol,6 days,rat,Female,,,,,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,other,,trans-resveratrol,3 days,rat,Female,,,,,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,0-96 hours,human,Unspecified,,,,,Panel considers that no conclusions with regards to the safety of resveratrol at the intended dose levels can be drawn from these pharmacokinetic and short-duration studies (14 studies total).
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,,human,Unspecified,,,,,Panel considers that no conclusions can be drawn from these studies due to low doses (8 studies total).
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,8-21 days,human,Unspecified,,,,,Panel considers that no conclusions can be drawn from these studies with cancer patients (3 studies total).
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,4 weeks -3 months,human,Unspecified,,,,,Panel considers that these studies (4 total) investigating beneficial effects of resveratrol provide no evidence for the safety of the NF.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,human interventional clinical trial,,NF (resVida(R)),4 weeks,human,Male,,,,,No adverse effects observed.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,original,human interventional clinical trial,,NF (resVida(R)),12 weeks,human,Female,,,,,No adverse effects observed.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,4 weeks,human,Mixed females and males,,,,,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,resveratrol,4 weeks,human,Mixed females and males,,,,,"Resveratrol intervention was found to inhibit the phenotypic indices of CYP3A4, CYP2D6, CYP2C9 and to induce the phenotypic index of 1A2."
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,trans-resveratrol,8 days,human,Unspecified,,,,,Observed occurrence of diarrhea in 6 out of 8 subjects.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,synthetic resveratrol from another manufacturer,29 days,human,Unspecified,,,,,Mild to moderate gastrointestinal symptoms observed at high doses.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,human interventional clinical trial,,synthetic trans-resveratrol,28 days,human,Male,,,,,
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,in vitro,,trans-resveratrol,,,,,,,,CYP inhibition in low micromolar range.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,in vitro,,trans-resveratrol sulfate,,,,,,,,CYP inhibition at higher concentrations.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,in vitro,,trans-resveratrol glucuronide,,,,,,,,No CYP inhibition up to 500 micromolar.
EFSA-Q-2014-00232,synthetic trans‐resveratrol,literature,in vitro,,resveratrol-3-O-sulfate,,,,IC50,,9,micromolar,IC50 refers to CYP2C9 inhibition.
EFSA-Q-2007-059,Allanblackia seed oil,original,subchronic,,Allanblackia seed oil,13 weeks,rat,Mixed females and males,,,,,
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,human other,,noni juice or noni supplements,,human,Unspecified,,,,,Case reports of adverse reactions compiled by the US FDA.
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,human other,,Tahitian Noni(R) juice (TNJ(R)),,human,Unspecified,,,,,"Consumer complaint data related to noni juice, compiled by TNJ(R) manufacturer."
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,original,human other,,Tahitian Noni(R) juice (TNJ(R)),,human,Unspecified,,,,,"Consumer surveillance and post-market surveillance related to TNJ(R), compiled by the applicant."
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,original,human other,,carbonated noni juice-containing products,,human,Unspecified,,,,,Health-related complaints for other noni juice-containing products.
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,acute toxicity,,Tahitian Noni(R) juice (TNJ(R)),,rat,Unspecified,,,,,
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,subacute,,Tahitian Noni(R) juice (TNJ(R)),,rat,Unspecified,,,,,
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,Previous assessment,subchronic,,Tahitian Noni(R) juice (TNJ(R)),,rat,Unspecified,,,,,
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,original,developmental,,noni fruit puree,20 days,rat,Mixed females and males,,,,,Study duration: exposure of dams between days 0 and 20 of gestation; end of study at gestation day 20.
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,literature,subacute,,aqueous extract of Morindacitrifolia fruits,3 days,rat,Female,,,,,Panel considers this study not relevant for the toxicological assessment of the NF due to nature of the test material. 
EFSA-Q-2007-181,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,literature,developmental,,aqueous extract of Morindacitrifolia fruits,,rat,Mixed females and males,,,,,Study duration: exposure of dams between day 8 of gestation and day 201 of lactation. Panel considers this study not relevant for the toxicological assessment of the NF due to nature of the test material. 
EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,original,subacute,,NF (82.5% 2'-FL and 9.64% DFL),14 days,rat,Mixed females and males,,,,,
EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,original,subchronic,OECD TG 408,NF (82.5% 2'-FL and 9.64% DFL),90 days,rat,Mixed females and males,,,,,Some animals followed for an additional 4 weeks of treatment-free recovery period. Panel could not establish a NOAEL.
EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,Previous assessment,human interventional clinical trial,,2’‐fucosyllactose,2 weeks,human,Unspecified,,,,,Study previously assessed by EFSA NDA panel. Statistically significant increase in GI symptoms.
EFSA-Q-2018-00374,2’‐fucosyllactose/difucosyllactose mixture,literature,human interventional clinical trial,,2’‐fucosyllactose,,human,Unspecified,,,,,
EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,original,human interventional clinical trial,,,,human,Male,,,,,No adverse effects observed
EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,literature,subacute,,water extract,28 days,rat,Unspecified,,,,,"given the unknown representativeness of the used test materials, these studies Notification of dried flowers of butterfly pea as TF are of limited relevance for the safety of the TF"
EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,literature,subchronic,,ethanolic extract ,90 days,rat,Unspecified,NOAEL,,1000,Milligrams per kilogram body weight per day,EFSA noted that the concentration of cyclotides in the tested extract (1 mg/g) is about 20 to 50 times lower than the concentrations of cyclotides reported in the TF and that it is unclear whether and to which extent the test material used in this study was representative for the TF. EFSA considers therefore that the NOAEL reported for this study is not suitable to derive a safe intake level for humans for this TF.
EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,literature,subchronic,,water extract,84 days,rat,Male,,,,,"given the unknown representativeness of the used test materials, these studies Notification of dried flowers of butterfly pea as TF are of limited relevance for the safety of the TF"
EFSA-Q-2021-00475,dried flowers of Clitoria ternatea L.,literature,in vitro,,cyclotides from TF,,,,,,,,
EFSA-Q-2017-00461,d‐ribose,original,subchronic,OECD TG 408,Bioenergy Ribose,90 days,rat,Mixed females and males,NOAEL,,3.6,Grams per kilogram body weight per day,"no ophthalmological abnormalities, haematological changes, clinical chemistry findings, decreased body weight, increased water uptake and urine volume, full and empty caecum weight, liver and other organ weight"
EFSA-Q-2017-00461,d‐ribose,original,reproductive/developmental,OECD TG 414,Bioenergy Ribose,21 days,rat,Mixed females and males,NOAEL,,4.25,Grams per kilogram body weight per day,wavy ribs and delayed ossification
EFSA-Q-2017-00461,d‐ribose,original,human interventional clinical trial,,Bioenergy Ribose,21 days,human,Unspecified,,,,,
EFSA-Q-2017-00461,d‐ribose,original,human interventional clinical trial,,Bioenergy Ribose,10 days,human,Unspecified,,,,,excretion
EFSA-Q-2017-00461,d‐ribose,literature,human interventional clinical trial,,D-ribose,3 months,human,Female,,,,,
EFSA-Q-2018-00144,decorticated grains of Digitaria exilis (Kippist) Stapf,literature,in vitro,,flavonoids from fonio millet,,,,,,,,antithyroid effects
EFSA-Q-2018-00247,astaxanthin,Previous assessment,chronic/long term toxicity,,,2 years,rat,Unspecified,LOAEL,,40,Milligrams per kilogram body weight per day,multinucleated hepatocytes
EFSA-Q-2018-00247,astaxanthin,Previous assessment,repeated dose,,ATX from H. pluvialis,,,Unspecified,,,,,
EFSA-Q-2018-00247,astaxanthin,Previous assessment,subchronic,,ATX produced by bacteria,,rat,Unspecified,NOAEL,,"1,000",Milligrams per kilogram body weight,The NDA Panel considers that the results from these studies have no impact on its previous conclusions regarding genotoxicity and repeated dose toxicity for ATX produced from H. pluvialis (in the light of chronic and carcinogenicity studies with synthetic ATX).
EFSA-Q-2018-00247,astaxanthin,Previous assessment,subchronic,,ATX produced by bacteria,,rat,Unspecified,NOAEL,,750,Milligrams per kilogram body weight,The NDA Panel considers that the results from these studies have no impact on its previous conclusions regarding genotoxicity and repeated dose toxicity for ATX produced from H. pluvialis (in the light of chronic and carcinogenicity studies with synthetic ATX).
EFSA-Q-2018-00247,astaxanthin,Previous assessment,subacute,,ATX produced by Phaffia rhodozyma,,rat,Unspecified,NOAEL,,"1,000",Milligrams per kilogram body weight,The NDA Panel considers that the results from these studies have no impact on its previous conclusions regarding genotoxicity and repeated dose toxicity for ATX produced from H. pluvialis (in the light of chronic and carcinogenicity studies with synthetic ATX).
EFSA-Q-2018-00247,astaxanthin,Previous assessment,subchronic,,synthetic ATX,,rat,Unspecified,NOAEL,,700,Milligram/kilogram,The NDA Panel considers that the results from these studies have no impact on its previous conclusions regarding genotoxicity and repeated dose toxicity for ATX produced from H. pluvialis (in the light of chronic and carcinogenicity studies with synthetic ATX).
EFSA-Q-2018-00247,astaxanthin,original,in vitro,,,,primary female human and rat liver cell cultures,,,,,,These studies aimed to investigate the hypothesis of rat-specific induction of cytochrome P450 and potential quantitative differences between ATX from H. pluvialis vs. synthetic ATX regarding induction of liver enzymes. [...] The NDA Panel concurs with the view that chronic induction of cytochrome P450 would not disprove the adversity of the observed liver effects.
EFSA-Q-2017-00554,taxifolin‐rich extract from Dahurian Larch (Larix gmelinii),Previous assessment,subchronic,,,90 days,,,NOAEL,,1500,Milligrams per kilogram body weight,
EFSA-Q-2018-00145,berries of Lonicera caerulea L.,literature,human interventional clinical trial,,L. caerulea berries,1 weeks,human,Unspecified,,,,,"clinical biochemistry and haematology data, including liver and kidney parameters, remained within the normal range. No adverse effects related to the intervention were reported by participants."
EFSA-Q-2018-00145,berries of Lonicera caerulea L.,literature,acute toxicity,,L. caerulea (concentrated and lyophilized powder from berries,single,mouse,Unspecified,,,,,No mortalities or adverse effects were observed at doses tested (up to 2g/kg bw)
