question,nf code,nf name,study source,test type,guideline,test material,investigation types
EFSA-Q-2011-01155,,dihydrocapsiate,original,animal,,"14C-DHC labelled at the vanillic alcohol moiety, diluted in medium chain triglycerides",pharmacokinetics
EFSA-Q-2011-01155,,dihydrocapsiate,original,animal,,"sweet pepper extract (CH-19 Sweet) containing 7.5% capsinoids (DHC, capsiate, nordihydrocapsiate), 20% of which are DHC",pharmacokinetics
EFSA-Q-2011-01155,,dihydrocapsiate,original,human interventional clinical trial,,"sweet pepper extract (CH-19 Sweet) containing 7.5% capsinoids (DHC, capsiate, nordihydrocapsiate), 20% of which are DHC","absorption, metabolism"
EFSA-Q-2011-01155,,dihydrocapsiate,original,in vitro,,"capsinoids, i.e. DHC, capsiate and nordihydrocapsiate, and the capsaicinoid capsaicin",metabolism
EFSA-Q-2020-00488,NF 2020/1621,apple fruit cell culture biomass,no ADME in opinion,,,,
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,original,in vitro,,synthetic trans-resveratrol produced by the applicant,metabolism
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,original,animal,,14C-trans-resveratrol,"metabolism, excretion"
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,original,animal,,14C-labelled and unlabelled trans-resveratrol,"metabolism, excretion"
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,original,animal,,synthetic trans-resveratrol,"distribution, excretion"
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,literature,human interventional clinical trial,,synthetic trans-resveratrol not produced by the applicant,pharmacokinetics
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,literature,human interventional clinical trial,,"high purity (> 98%), transresveratrol (synthetic, from yeast or from Japanese knotweed)",pharmacokinetics
EFSA-Q-2014-00232,,synthetic trans‐resveratrol,original,human interventional clinical trial,,NF or a supplement already in the EU market containing 32 mg resveratrol from Japanese knotweed,absorption
EFSA-Q-2020-00747,NF 2020/1606,galacto‐oligosaccharides (GOS),no ADME in opinion,,,,
EFSA-Q-2007-059,,Allanblackia seed oil,no ADME in opinion,,,,
EFSA-Q-2007-181,,Tahitian Noni® ‘Morinda citrifolia (noni) fruit puree and concentrate’,no ADME in opinion,,,,
EFSA-Q-2018-00342,NF 2018/0267,syrup from Sorghum bicolor (L.) Moench,no ADME in opinion,,,,
EFSA-Q-2018-00374,NF 2018/0401,2’‐fucosyllactose/difucosyllactose mixture,Previous assessment,not reported,,,digestibility
EFSA-Q-2018-00374,NF 2018/0401,2’‐fucosyllactose/difucosyllactose mixture,literature,not reported,,,digestibility
EFSA-Q-2018-00374,NF 2018/0401,2’‐fucosyllactose/difucosyllactose mixture,literature,human other,,,"digestibility, excretion"
EFSA-Q-2019-00395,NF 2019/1014,pulp from Theobroma cacao L.,no ADME in opinion,,,,
EFSA-Q-2021-00475,NF 2020/2030,dried flowers of Clitoria ternatea L.,no ADME in opinion,,,,
EFSA-Q-2017-00461,,d‐ribose,literature,animal,,"D-glucose, D-ribose, D-xylose",absorption
EFSA-Q-2017-00461,,d‐ribose,literature,human interventional clinical trial,,D-ribose,"absorption, excretion"
EFSA-Q-2017-00461,,d‐ribose,literature,human interventional clinical trial,,D-ribose,absorption
EFSA-Q-2017-00461,,d‐ribose,literature,not reported,,14C-ribose,pharmacokinetics
EFSA-Q-2017-00461,,d‐ribose,literature,animal,,3H-ribose,distribution
EFSA-Q-2017-00461,,d‐ribose,literature,animal,,14C-ribose,distribution
EFSA-Q-2017-00461,,d‐ribose,literature,animal,,14C-ribose,metabolism
EFSA-Q-2017-00461,,d‐ribose,literature,animal,,ribose,metabolism
EFSA-Q-2017-00461,,d‐ribose,literature,not reported,,D-ribose,metabolism
EFSA-Q-2017-00461,,d‐ribose,literature,human interventional clinical trial,,D-ribose,excretion
EFSA-Q-2018-00144,NF 2018/0146,decorticated grains of Digitaria exilis (Kippist) Stapf,no ADME in opinion,,,,
EFSA-Q-2018-00247,,astaxanthin,no ADME in opinion,,,,
EFSA-Q-2017-00554,,taxifolin‐rich extract from Dahurian Larch (Larix gmelinii),no ADME in opinion,,,,
EFSA-Q-2018-00145,NF 2018/0197,berries of Lonicera caerulea L.,no ADME in opinion,,,,
EFSA-Q-2018-00262,NF 2018/0241,dried yellow mealworm (Tenebrio molitor larva),no ADME in opinion,,,,
EFSA-Q-2021-00757,NF 2019/0925,nuts of Canarium ovatum Engl.,no ADME in opinion,,,,
EFSA-Q-2018-00769,NF 2018/0556,chromium‐enriched biomass of Yarrowia lipolytica,no ADME in opinion,,,,
